date,open_ret,high_ret,low_ret,close_ret,volume_ret,range_ret,vol_ratio,target_return
2019-01-03,-0.016567905476786333,-0.004194572931901294,-0.0428520642889069,-0.04029895595791059,0.2744943132505696,0.03865749135700559,0.2744943132505696,0.047486825586546086
2019-01-04,0.019011453128965784,0.05392079572287639,0.008218333385462679,0.047486825586546086,0.09866694758020775,0.045702462337413784,0.22652513421739545,0.013481341892953339
2019-01-07,0.01648651588103738,0.02794490149145931,0.004851340797798685,0.013481341892953339,-0.10551441339308523,0.023093560693660718,0.03966605072376533,0.01480738083846251
2019-01-08,0.01467844532945147,0.01948103755583882,-0.004064747759706845,0.01480738083846251,0.012943220394741287,0.02354578531554556,0.042544279953464235,0.01174951068198068
2019-01-09,0.005699738448349451,0.025082494723275357,-0.002926715898603997,0.01174951068198068,-0.02519329408396064,0.028009210621879374,0.008696095755096138,0.009890239586297617
2019-01-10,-0.007075853964604439,0.011025100324970557,-0.015926979506935845,0.009890239586297617,-0.2843674080586623,0.026952079831906513,-0.3201396700516467,-0.0009256973534600113
2019-01-11,-0.008701573493761884,0.006497761292928563,-0.010740097085160653,-0.0009256973534600113,0.16176992466820303,0.017237858378089235,-0.10551398713256069,-0.012666732189896692
2019-01-14,-0.009389348280067721,-0.00544527020986246,-0.023813168527419805,-0.012666732189896692,-0.19860053624923715,0.018367898317557235,-0.2539782598715817,0.03271281830532034
2019-01-15,0.014138983363272843,0.039169860572115946,0.011445154790613468,0.03271281830532034,0.3383829902527806,0.0277247057815025,0.14777150765754846,-0.0016931459690039613
2019-01-16,0.005103334296068389,0.006743998698045806,-0.0111195568246243,-0.0016931459690039613,-0.23691218408148837,0.017863555522670268,-0.0872747555840175,0.010075121697819892
2019-01-17,-0.007550616931891343,0.01269035449930119,-0.013188459821160075,0.010075121697819892,-0.017129093602271883,0.02587881432046138,-0.058318135683702386,0.012644760715250142
2019-01-18,0.01240232674109698,0.025370993815098837,0.0002045742165025372,0.012644760715250142,0.26891709150964993,0.02516641959859617,0.20188274528959127,-0.014897655853365421
2019-01-22,-0.00966226105521899,-0.007706048497711929,-0.025865948293136595,-0.014897655853365421,0.1130505384561855,0.018159899795424695,0.2804647676220371,0.00527616623735439
2019-01-23,0.00433750388455781,0.0175204069994211,-0.013417478277383222,0.00527616623735439,-0.7157075474876803,0.030937885276804498,-0.5293417269333548,-0.010580381034368612
2019-01-24,0.0019561328794873043,0.0034207410219137526,-0.01628596111603242,-0.010580381034368612,0.584082307503163,0.019706702137946033,0.1537188945715049,0.009805003237044464
2019-01-25,0.00996832341833792,0.01854404530631102,0.003580304384909596,0.009805003237044464,0.04804481764688105,0.014963740921401427,0.1543879124401798,-0.012736371120113428
2019-01-28,-0.016257162135231797,-0.0070877070541076215,-0.023127154286990637,-0.012736371120113428,-0.5939748326923948,0.016039447232883006,-0.4980548863992663,-0.01491322212804166
2019-01-29,-0.00016544078365051594,0.004208576153722358,-0.019118973299590718,-0.01491322212804166,-0.0856854936625192,0.023327549453313227,-0.4870101236897121,0.0182979857747879
